,abv,brewery,style_name,name,location,description,organic,id,type
67, 10.50%,Amsterdam Brewing, Company American Imperial IPA ,Amsterdam / Great Lakes Life Sentence,Ontario,NaN,NaN,NaN,Micro Brewery
68, 9.00%,Beau's All Natural Brewing, Company Russian Imperial Stout ,The Bottle Imp,Ontario,NaN,NaN,NaN,Micro Brewery
69, 6.50%,Nickel Brook Brewing, Co.New England IPA ,Wicked Awesome IPA,Ontario,NaN,NaN,NaN,Micro Brewery
70, 5.50%,Collective Arts Brewing, American Wild Ale ,Collective Project: Sour Dry Hopped with Raspberry,Ontario,NaN,NaN,NaN,Micro Brewery
71, 6.00%,Collective Arts Brewing, American Wild Ale ,Collective Project: Sour Dry Hop Ale - Passion Fruit And Peach,Ontario,NaN,NaN,NaN,Micro Brewery
72, 6.50%,Great Lakes Brewery, American Porter ,Great Lakes / Bar Hop Hanlan’s Point,Ontario,NaN,NaN,NaN,Micro Brewery
73, 6.80%,Dominion City Brewing, Co.American IPA ,Sunsplit IPA,Ontario,NaN,NaN,NaN,Micro Brewery
74, 6.50%,Sawdust City Brewing, Co.American IPA ,Lone Pine IPA,Ontario,NaN,NaN,NaN,Micro Brewery
75, 9.00%,Amsterdam Brewing, Company Russian Imperial Stout ,Amsterdam Tempest Imperial Stout,Ontario,NaN,NaN,NaN,Micro Brewery
76, 6.30%,Left Field Brewery, American IPA ,Greenwood,Ontario,NaN,NaN,NaN,Micro Brewery
77, 7.00%,Muskoka Brewery, American Pale Ale (A PA) ,Muskoka Harvest Ale,Ontario,NaN,NaN,NaN,Micro Brewery
78, 9.50%,Bellwoods Brewery, American Imperial Porter ,Donkey Venom,Ontario,NaN,NaN,NaN,Micro Brewery
79, 9.99%,Great Lakes Brewery, American Black Ale ,Great Lakes Apocalypse Later,Ontario,NaN,NaN,NaN,Micro Brewery
80, 10.50%,Bellwoods Brewery, American Imperial Stout ,Skeleton Key - Coconut,Ontario,NaN,NaN,NaN,Micro Brewery
81, 7.20%,Bellwoods Brewery, Belgian Saison ,Farmageddon,Ontario,NaN,NaN,NaN,Micro Brewery
82, 6.40%,Bellwoods Brewery, American Pale Ale (A PA) ,Monogamy - Galaxy,Ontario,NaN,NaN,NaN,Micro Brewery
83, 6.20%,Great Lakes Brewery, American Porter ,Great Lakes Harry Porter,Ontario,NaN,NaN,NaN,Micro Brewery
84, 8.00%,Bellwoods Brewery, Baltic Porter ,Lost River Baltic Porter,Ontario,NaN,NaN,NaN,Micro Brewery
85, 13.00%,Cameron's Brewing, Co.American Barleywine ,Where The Buffalo Roam,Ontario,NaN,NaN,NaN,Micro Brewery
86, 3.80%,Nickel Brook Brewing, Co.Berliner Weisse ,Über - Raspberry,Ontario,NaN,NaN,NaN,Micro Brewery
87, 6.00%,Left Field Brewery, American Porter ,Bricks & Mortar,Ontario,NaN,NaN,NaN,Micro Brewery
88, 7.10%,Beau's All Natural Brewing, Company American Black Ale ,Wild Oats Series No. 60 - Le Coeur Noir,Ontario,NaN,NaN,NaN,Micro Brewery
89, 6.50%,Great Lakes Brewery, American IPA ,Great Lakes My Bitter Wife IPA,Ontario,NaN,NaN,NaN,Micro Brewery
90, 5.90%,Clifford Brewing, Co.American Porter ,Porter,Ontario,NaN,NaN,NaN,Micro Brewery
91, 10.50%,Bellwoods Brewery, American Imperial Stout ,Skeleton Key - Coffee,Ontario,NaN,NaN,NaN,Micro Brewery
92, 7.80%,Beau's All Natural Brewing, Company Baltic Porter ,One Ping Only,Ontario,NaN,NaN,NaN,Micro Brewery
93, 11.00%,Indie Ale House Brewing, Company American Imperial IPA ,Cock Puncher,Ontario,NaN,NaN,NaN,Micro Brewery
94, 6.40%,Bellwoods Brewery, American Pale Ale (A PA) ,Monogamy - Mosaic,Ontario,NaN,NaN,NaN,Micro Brewery
95, 10.00%,Nickel Brook Brewing, Co.Herb and Spice Beer ,Cuvée (2016) - Bourbon Barrel-Aged,Ontario,NaN,NaN,NaN,Micro Brewery
96, 11.50%,Collective Arts Brewing, American Imperial Stout ,Collective Arts / Forbidden Root - Origin of Darkness,Ontario,NaN,NaN,NaN,Micro Brewery
97, 10.00%,Flying Monkeys Craft Brewery, Pumpkin Beer ,Flying Monkeys Paranormal Imperial Pumpkin Ale,Ontario,NaN,NaN,NaN,Micro Brewery
98, 8.00%,Indie Ale House Brewing, Company Flanders Red Ale ,Ritual Madness,Ontario,NaN,NaN,NaN,Micro Brewery
99, 5.60%,Collective Arts Brewing, American Wild Ale ,Collective Arts / 18th Street- Pina Colada Sour,Ontario,NaN,NaN,NaN,Micro Brewery
