,beer,style_name
212,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,ipa
213,Great Lakes Brewery: Apocalypse Later Imperial Black IPA,pale ale
214,Great Lakes Brewery: Ice Hole Pale Ale,pale ale
215,Great Lakes Brewery: Great Lakes Karma Citra IPA,ipa
216,Great Lakes Brewery: Great Lakes Harry Porter,browns
217,Great Lakes Brewery: Great Lakes / Bar Hop Hanlan’s Point,browns
218,High Park Brewery: Across the Pond,"red, amber"
219,High Road Brewing: Bronan,ipa
220,Hop City Brewing Co.: Barking Squirrel Lager,lager
221,Hop City Brewing Co.: Big Mouth Pale Ale,pale ale
222,Hop City Brewing Co.: Hopbot IPA,pale ale
223,Hop City Brewing Co.: 8th Sin Black Lager,lager
224,Indie Ale House Brewing: Ritual Madness,sour
225,Indie Ale House Brewing: Cock Puncher,ipa
226,Isle de Garde Brasserie: Brett Session Saison au Seigle,Brett Beer
227,Isle de Garde Brasserie: American Pale Ale,pale ale
228,Isle de Garde Brasserie: English Brown Ale,browns
229,Junction Craft Brewing: Engineers,pale ale
230,Kensington Brewing Company: Augusta Ale,pale ale
231,Kensington Brewing Company: Fruit Stand Watermelon Wheat,lager
232,Kensington Brewing Company: India Pale Ale,pale ale
233,Kensington Brewing Company: Baldwin FishEYE PA,pale ale
234,Labatt Ontario Breweries: Brown Ale,browns
235,Labatt Ontario Breweries: Canadian Ale,lager
236,Labatt Ontario Breweries: Canadian Style Wheat Ale - Prohibition Series,lager
237,Labatt Ontario Breweries: Classic Porter,browns
238,Labatt Ontario Breweries: Blue Citra,lager
239,Lagunitas Brewing Company: Dry-Hopped Censored Ale,Specialty Beer
240,Lagunitas Brewing Company: GnarlyWine,American-Style Barley Wine Ale
241,Lagunitas Brewing Company: A Little Sumpin' Extra,pale ale
242,Lagunitas Brewing Company: A Little Sumpin' Sumpin',pale ale
243,Lagunitas Brewing Company: DayTime IPA,pale ale
244,Lagunitas Brewing Company: Brown Shugga',pale ale
245,Lagunitas Brewing Company: Imperial Stout,stout
246,Lagunitas Brewing Company: Imperial Red Ale,"red, amber"
247,Lagunitas Brewing Company: Imperial Pils,pilsner
248,Lake of Bays Brewing Company: Crosswind Pale Ale,pale ale
249,Le Trou Du Diable: EPIK,stout
250,Le Trou Du Diable: Bar Volo 25th Anniversary Ale,sour
251,Le Trou Du Diable: Apocalypso,pale ale
252,Le Trou Du Diable: Dulcis Succubus - Brassin Special,sour
253,Left Field Brewery: Left Field Laser Show,ipa
254,Left Field Brewery: Bricks & Mortar,browns
255,Left Field Brewery: Greenwood,ipa
256,Les 3 Brasseurs: Blond,Golden or Blonde Ale
257,Les 3 Brasseurs: Brown,browns
258,Les Brasseurs du Temps: Blanche de Koralie,wheat
259,Les Trois Mousquetaires: Dixième,sour
260,Les Trois Mousquetaires: Gose,sour
261,MacKinnon Brothers Brewing: 8 Man,"red, amber"
262,McAuslan Brewing: Griffon Extra Blonde,Golden or Blonde Ale
263,McAuslan Brewing: Griffon Brown Ale,browns
264,McAuslan Brewing: Griffon Ale Rousse,pale ale
265,MicroBrasserie Charlevoix: Dominus Vobiscum Blanche,wheat
266,Microbrasserie Le Naufrageur: Carrick,barrelaged
267,Microbrasserie Le Naufrageur: Colborne,"red, amber"
268,Microbrasserie Le Prospecteur: Blonde du Prospecteur,Golden or Blonde Ale
269,Microbrasserie Le Prospecteur: Blanche du Prospecteur,wheat
270,Mill Street Brewery: IPA (India Pale Ale),pale ale
271,Mill Street Brewery: Imperial Ginger Cat,wheat
272,Mill Street Brewery: Don Valley Bench,lager
273,Mill Street Brewery: Cobblestone Stout,stout
274,Mill Street Brewery: Grapefruit League India Pale Ale,pale ale
275,Mill Street Brewery: Belgian Wit,wheat
276,Mill Street Brewery: Big League IPA,pale ale
277,Mill Street Brewery: 100th Meridian,lager
278,Mill Street Brewery: Belgian Pale Ale,belgian
279,Mill Street Brewery: Hopped & Confused,pale ale
280,Mill Street Brewery: Coffee Porter,"red, amber"
281,Molson Breweries of Canada: Full Moon Winter Ale,belgian
282,Molson Breweries of Canada: Dominion Ale,Specialty Beer
283,Molson Breweries of Canada: Canadian Light,lager
284,Molson Breweries of Canada: Caffrey's Irish Ale,"red, amber"
285,Molson Breweries of Canada: Carling,lager
286,Muskoka Brewery: Muskoka Twice As Mad Tom IPA,ipa
287,Muskoka Brewery: Muskoka Harvest Ale,pale ale
288,Nickel Brook Brewing: Old Kentucky Bastard,imperial st
289,Nickel Brook Brewing: Wicked Awesome IPA,ipa
290,Nickel Brook Brewing: Café Del Bastardo,imperial st
291,Nickel Brook Brewing: Winey Bastard,imperial st
292,Nickel Brook Brewing: Über - Raspberry,wheat
293,Nickel Brook Brewing: Cuvée (2016) - Bourbon Barrel-Aged, Co.Herb and Spice Beer 
294,Nickel Brook Brewing: Immodest,ipa
295,Nickel Brook Brewing Company: Cause & Effect,Golden or Blonde Ale
296,Nickel Brook Brewing Company: Head Stock,pale ale
297,Nickel Brook Brewing Company: Ceres,sour
298,Nickel Brook Brewing Company: Bolshevik Bastard,imperial st
299,Railway City Brewing Company: Black Coal Stout,stout
300,Railway City Brewing Company: Iron Spike - Copper,"red, amber"
301,Railway City Brewing Company: Iron Spike - Amber,"red, amber"
302,Railway City Brewing Company: Hoptoberfest,germanic styles
303,Railway City Brewing Company: Dead Elephant,pale ale
304,Redline Brewhouse: Double Clutch,ipa
305,San Francisco Brewing Co.: Broadway IPA,pale ale
306,Sawdust City Brewing: Twin Pine,ipa
307,Sleeman Breweries Ltd.: Clear,lager
308,Sleeman Breweries Ltd.: Honey Brown Lager,"red, amber"
309,Sleeman Breweries Ltd.: Dark,Specialty Beer
310,Spearhead Brewing Company: Belgian Style Stout,black ale
